Username,Rating,Ulasan
Rahmi Lianingsih,4 bintang,"Pertama kali ajak anak kesini. Cocok untuk anak umur diatas 2th. Karena jika dibawah 2th masih kurang bisa menikmati. Anakku usia 3th 3bln rasaku umur yg pas, anak udah banyak pertanyaan dan antusias melihan berbagai jenis binatang.

Biaya masuk murce sekali 15k/org
Parkir luar 35k/mobil, untuk parkir dalam kurang tahu infonya sih murah.
Naik Unta 35k/org
Naik Gajah 100k/org

Tipsnya:
1. Kalo yg belum pernah kesini kaya Q waktu cari parkir, udh distop smaa tukang parkir di depan infonya penuh dan qta nurut aja dicarikan tempat bayar parkirnya 35k. Dan ternyata di dalem masih banyak tempat, ya kalo mau berbagi rezeki sama yg lain ya gak masalah sih. Tp kalo Q cukup 1x aja cz parkirnya jauh dan nyebrang 2x.
2. Bisa bawa makan dan minum dari rumah atau beli dari luar jdi lumayan hemat
3. Bawa masker, bisa dipakai saat lewat di tempat unggas, cz bau sekali
4. Gak perlu bawa tikar, Q lihat beberapa orang bawa tikar distop dipintu masuk.

Sarannya harusnya dikasih panduan arah atau rute perjalanan, biar bisa explore semua, dan tidak bingung.

Alhamdulillah anakku happy sekali"
Nurul Muharromiyah,5 bintang,"Tempat edu wisata keluarga, bawa makanan apapun boleh. Tapi kalo tikar besar g boleh ya gaes 😂. Disediakan banyak tempat duduk untuk menunggu/istirahat sejenak sambil buka bekal 😀
Saran kl kesini bawa troli, biar g capek gendong /bawa peralatan camping 😂
Selama pandemi menunggang gajah belum beroperasi.
Masuk aquarium bayar 20k /org
HTM Zoo 15k
Menunggang 🐫 35k/org
Aneka jajanan & minuman hrg di semua booth sama dan tergolong ramah di kantong.
Banyak spot ft instragramable.
Parkir mobil/Bus di tempat parkir Joyoboyo (enak, luas, bersih & aman).
Kekurangan nya adalah sarana cuci tangan di berbagai tempat 😏
Wes ojok kesuen, Ndang budhal..
Yuk ajak keluarga datang kesini..
Ramai* kumpul keluarga 😚🤗"
Jianata Inanggayu Purnanean,5 bintang,"Hampir setiap hari ramai dipadati pengunjung yang sebagian besar dari mereka merupakan keluarga yang sedang melakukan study tour menemani anak-anak mereka di rombongan TK - SD. Ada pembaharuan di pembangunannya, lebih baik dan bagus dari pada 2 tahunan yang lalu sebelum pandemi. Ingin mengabadikan momen? Tenang, banyak tukang foto langsung jadi yang selalu menunggu pengunjung di lokasi.

Kebun binatang ini punya banyak hewan mulai dari yang kecil hingga besar, dari yang jinak hingga buas. Tempatnya terbilang cukup bersih dan terawat. Asri? Tentu. Tiket bisa dibeli baik secara cash maupun cashless.

Khawatir tentang keamanan dan keselamatan? Jangan risau, tim keamanan dan keselamatan terus siaga mengawasimu."
liyaliyu oye,4 bintang,"Berkunjung ke KBS tak perlu lagi pake aplikasi tiketwisata surabaya krn sdh bisa dibeli langsung  di loket. Animo masyarakat msh cukup tinggi utk mengajak buah hati melihat satwa koleksi KBS. Tiket masuk 15.000; tiket naik unta 35.000; tiket aquarium 35.000; tiket animal education 25.000; tiket gajah 100.000

Lingkungan KBS semakin tertata modern, asri, byk stand jual makanan dn minuman. Capek jalan?? Tdk usah kuatir, byk tempat duduk di bawah pohon rindang. Fasum toilet, tong sampah, dn wastafel ckp memadai.

Sayangnya, byk kandang yg kosong. Jika dulu saat naik perahu kita bs lihat dn dengar suara kera, skrg sdh tdk ada lg krn pohon-pohonnya mati, yg ada semak belukar sj. Suara bising dn klakson macetnya jalanan terdengar sampai ke dalam. Bisa jd polusi tsb membuat satwa stres lalu mati.

Oiya, setiap pukul 12.00 waktunya para animal keeper memberi makan harimau. Jd buruan merapat ke kandang spy bs melihat aktifnya harimau koleksi KBS.

Yuuukkk... berbagi memori indah pada anak cucu dg mendatangi KBS!!"
Kalmasera Subiakto,3 bintang,"Tiket masuk 15 ribu per kepala, anak diatas usia 2 tahun harus bayar sendiri.
Masuk ke akuarium bayar lagi, per kepala 30 ribu, di dalam ada taman reptil dan diorama nocturnal (cukup kecewa karna koleksi sepi banyak akuarium yang kosong dan berisi ikan yang tidak sesuai dengan deskripsi)
Naik perahu bayar 20 ribu per kepala (tidak disarankan, soalnya gaada apa apa).
Naik gajah/unta bayar 100 ribu (gausah juga gapapa, jangan fomo).
Boleh bawa makan sendiri tapi tidak boleh menggelar tikar untuk makan di jalan.
Tempatnya sudah cukup sejuk dan bagus, sudah lebih tertib dan bersih, tidak ada bau tidak sedap kecuali dekat kandang gajah. Tapi tempat terlalu luas, lumayan capek untuk berjalan, kasian untuk lansia yang diajak kesini.
Banyak stan makanan dan minuman jangan khawatir, harganya terjangkau.
Ada animal studio 3D bayar lagi tapi gatau berapa, karna gak kesana."
Zenobio Z,5 bintang,"Wisata semua generasi. Dari saya TK sampai skrg pny anak 10 tahun jd andalan tuk healing tipis2 merasakan hutan kota Surabaya sambil melihat satwa.

Skrg designnya kekinian makin asri dgn banyak spot foto selfienya, kandangnya bersih, hewan nya embul semua, dan bs nikmati seru naik gajah yg include dpt free foto cetakan KBS, naek onta juga bahkan bs kasih makan jerapah jd merasa setinggi ama jerapanya jg hehe

Oya lengkap jg ada wahana ocean nya dmn bs liat satwa air dan biotanya mulai dari ikan laut atau tawar sampe bs nengok hiu disini .

Kl pny anak kecil atau ponakan atau sekedar mau nostalgia masa kecil agendain deh dimari ya tiket Murmer all day weekdays or wikend sama aja cm 15 k loh. ( Tdk termasuk tiket wahana laennya ya)"
Ai Wo,2 bintang,"Mungkin aku nggak mau lagi ke KBS, hewan-hewan di sini kasihan. Untuk ukuran kebun binatang, di sini kurang rindang. Yang teduh hanya tempatnya manusia. Sementara bagian para binantangnya panas bangeeeeeeeet. Satu kandang kecil diisi puluhan burung pelikan, mereka berjubel kesempitan. Satu kandang besar diisi satu hewan saja. Mereka kesepian. Tempat Jerapahnya panas, jerapahnya cuma ada 1 dan pohonnya terlalu tinggi, Jerapah mau raih daun nggak sampai. Bahkan berteduh bawah pohon aja nggak bisa. Dalam keterangan tertulis singa adalah hewan berkelompok, tapi di kandang hanya ada seekor singa betina. Harimau juga dikandang sendiri. Padahal aku pernah baca, singa betina itu birahinya tinggi. Kasihan aja lihatnya. Oh ya, di air kan ada kura-kura ya, airnya amat sangat keruh. Apa nggak keracunan itu hewan yang di dalam air ya."
Milo,4 bintang,"kesini pas weekdays ga terlalu ramai jam 10 an gitu tapi kalo diatas jam 1 sudah lumayan ramai, tempatnya asri, teduh, cukup banyak ragam binatangnya, mengasyikkan banget pas kesini. Disini ada foodcourt, musholla, penjual makanan, jajanan, minuman es, ATM ada di gerbang utama, mainan, bisa naik perahu juga cuman kemarin sayang banget mo liat harimau, singa sama gajah tpi ga keliatan. Overall seru banget tempatnya, worth it buat jd destinasi wisata liburan bareng keluarga.
HTM 15 ribu/org, bisa pembayaran tunai dan non tunai, ada pengecekan suhu dan scan barcode peduli lindungi. Oh iya kalo mau masuk aquarium byr tiket msuk lagi 20 ribu/org, untuk aquariumnya jenis ikannya lumayan banyak, ada 2 kategori ikan air tawar dan laut cuman agak kurang worth it sih buatku soalnya liat2nya didalam kayak cuman sebentar dan agak gelap eh tau2 dah keluar aja sih cuman pas keluar lewati area iguana, kalo mo liat ular sblh kiri sblm masuk aquarium☺"
Fransisca Amaylia Widyatno,5 bintang,"Kemarin ke sini pas hari Sabtu jadi rame bgt, sampek parkir di rumah orang alias ada pungli bayar 20rb. HTM 15rb tapi di dalam harus bayar lagi kalo pengen naik unta, masuk aquarium, beli makanan buat hewan, jajan, toilet, perahu, foto, dll. Terakhir kali ke KBS itu 5 tahun yang lalu masih sepi banget, hewannya sedikit. Tapi tahun ini ke KBS udah beda, udah bagus bangett. Hewannya banyak, KBS luas banget sampek bingung mau liat yang mana duluan 😭🤣 yang ga aku suka itu meskipun ada larangan menggelar tikar dan piknik, tapi masih banyak pengunjung yang nakal. Kasian petugasnya sampai keliling bawa tulisan 'dilarang piknik'. Please lah ya ada aturan tuh ditaati gitu loh jadilah pengunjung yang cerdas! Mana buang sampah sembarangan lagi. Padahal ada banyak tempat sampah loh. Educate yourself!
Walaupun luas banget, jangan khawatir kesasar, ada banyak denah kok. Ada buanyak spot foto estetik. Dah buruan ke sana sampek puas! Tapi tetap patuhi protokol kesehatan ya! 😃"
MP,2 bintang,"Ke sini hari minggu tgl 2 januari. Rame pol. Mungkin krn msh liburan tahun baru. Beli tiket hrs desak2an. Petugas tereak2 nyuruh ngantri pdhl sy sdh ngantri. Memusingkan. Sprti yg sy duga di dlm bonbin lebih rame lg. Denah yg disediakan tdk sesuai dgn posisi hewan saat itu. Hewannya jg bnyk yg gak ada, sprti gajah, kangguru, harimau, dll. Waktu itu sy liat ada hewan baru: puma. Tp dia sembunyi di bwh meja sprti ketakutan. Jd kasihan. :(

Lalu ke kafetaria pengen nyari makan tp harganya tdk masuk akal, mahal banget! Harga makanan dipukul rata 25rb. Sejam di sana lgsg buru2 keluar krn gak tahan panas & berdesakan. Capek, pdhl msh banyak area yg blm ditelusuri.

Kalau tau jumlah pengunjung di dlm sdh melebihi kapasitas knp gak distop aja dlu?  Bukannya masih PPKM lv. 1? Utk pengelola KBS, mohon lebih bijaksana lg. Perhatikan jg kondisi kesehatan hewan2 di sana."
